H [ampere/meter]	B [tesla]
+0171238.637905	+1.553020596
+0157780.491114	+1.536248160
+0143454.076787	+1.513968656
+0123049.789716	+1.475087555
+0106769.773436	+1.422584503
+0089621.489621	+1.359087415
+0077682.811016	+1.290223951
+0068131.868132	+1.202211369
+0061402.794736	+1.045677002
+0059449.192783	+0.845357432
+0059232.125899	+0.760304396
+0058363.858364	+0.576470854
+0057495.590829	+0.359715502
+0056844.390178	+0.123760784
+0055976.122643	-0.035381400
+0055976.122643	-0.101225021
+0056410.256410	-0.235645699
+0055976.122643	-0.378316928
+0054890.788224	-0.548438073
+0053805.453805	-0.737763608
+0050766.517433	-0.921647397
+0046425.179759	-1.017769839
+0040998.507665	-1.080995593
+0033401.166734	-1.144271595
+0021245.421245	-1.204909631
+0008655.541989	-1.246353327
-0002197.802198	-1.276782888
-0017826.617827	-1.307322993
-0034323.700990	-1.337883196
-0053425.586759	-1.373990664
-0073178.673179	-1.407369722
-0092714.692715	-1.438000271
-0108343.508344	-1.460309923
-0122235.788902	-1.479835893
-0137213.403880	-1.499386987
-0153710.487044	-1.529947190
-0169122.235789	-1.554995302
-0182146.248813	-1.566270721
