H [ampere/meter]	B [tesla]
+0171238.637905	+1.553020596
+0157780.491114	+1.536248160
+0143454.076787	+1.513968656
+0123049.789716	+1.475087555
+0106769.773436	+1.422584503
+0089621.489621	+1.359087415
+0077682.811016	+1.290223951
+0068131.868132	+1.202211369
+0061402.794736	+1.045677002
+0059449.192783	+0.845357432
+0059232.125899	+0.760304396
+0058363.858364	+0.576470854
+0057495.590829	+0.359715502
+0056844.390178	+0.123760784
+0055976.122643	-0.035381400
+0055976.122643	-0.101225021
+0056410.256410	-0.235645699
+0055976.122643	-0.378316928
+0054890.788224	-0.548438073
+0053805.453805	-0.737763608
+0050766.517433	-0.921647397
+0046425.179759	-1.017769839
+0040998.507665	-1.080995593
+0033401.166734	-1.144271595
+0021245.421245	-1.204909631
+0008655.541989	-1.246353327
-0002197.802198	-1.276782888
-0017826.617827	-1.307322993
-0034323.700990	-1.337883196
-0053425.586759	-1.373990664
-0073178.673179	-1.407369722
-0092714.692715	-1.438000271
-0108343.508344	-1.460309923
-0122235.788902	-1.479835893
-0137213.403880	-1.499386987
-0153710.487044	-1.529947190
-0169122.235789	-1.554995302
-0182146.248813	-1.566270721
-0166734.500068	-1.546709578
-0150671.550672	-1.516159424
-0134391.534392	-1.480117276
-0120499.253833	-1.446873885
-0103568.036901	-1.397099243
-0093800.027133	-1.352977384
-0080558.947226	-1.286827256
-0072961.606295	-1.220807770
-0067317.867318	-1.141116086
-0062976.529643	-1.042250160
-0061022.927690	-0.916004663
-0060588.793922	-0.808998729
-0059937.593271	-0.677296412
-0058852.258852	-0.498944814
-0058201.058201	-0.295911907
-0057332.790666	-0.046234744
-0056898.656899	+0.088206033
-0056681.590015	+0.170515584
-0057115.723782	+0.291218841
-0056681.590015	+0.444864007
-0056898.656899	+0.573802740
-0056030.389364	+0.691792661
-0056030.389364	+0.834453841
-0052774.386108	+0.960729485
-0048650.115317	+1.040385997
-0038447.971781	+1.144874558
-0027160.493827	+1.219209917
-0013485.280152	+1.255191768
+0000624.067291	+1.291183668
+0009740.876408	+1.316086063
+0021896.621897	+1.335571836
+0037959.571293	+1.368865474
+0060968.660969	+1.402319902
+0075946.275946	+1.424614480
+0098521.231855	+1.460802344
+0117188.983856	+1.485925825
+0134120.200787	+1.508265626
+0138678.605345	+1.516601597
+0150834.350834	+1.530600401
+0168416.768417	+1.550211791
