H	B
83808.895000	1.767713
80885.320000	1.759640
75038.255000	1.747534
69624.180000	1.727354
64859.845000	1.711211
59445.855000	1.695067
55114.680000	1.703138
50025.475000	1.678923
44936.270000	1.654709
39955.440000	1.638565
34974.525000	1.622421
29993.610000	1.602243
24796.200000	1.594170
20140.155000	1.573990
14834.370000	1.553812
9745.250000	1.537668
5089.205000	1.525561
0.000000	1.493273
-5197.410000	1.473095
-10286.615000	1.440806
-15050.950000	1.412555
-20248.445000	1.388340
-23388.515000	1.356053
-25879.015000	1.331838
-28261.140000	1.303587
-30751.555000	1.275336
-33025.475000	1.230943
-34757.945000	1.214798
-36598.705000	1.162332
-38439.465000	1.130045
-39738.860000	1.081615
-41363.040000	1.013004
-42770.725000	0.944395
-43636.960000	0.871749
-44611.485000	0.774887
-45261.140000	0.694170
-46127.375000	0.597310
-46452.245000	0.476233
-46668.825000	0.351121
-47426.770000	0.274439
-47535.060000	0.161435
-47751.555000	0.068611
-48293.005000	-0.032287
-48293.005000	-0.185650
-49159.240000	-0.589237
-50891.710000	-0.952466
-53923.575000	-1.287445
-59229.275000	-1.493273
-63993.610000	-1.590134
-75038.255000	-1.719283
-81968.135000	-1.775785
-84891.710000	-1.771749
-77853.540000	-1.767713
-74929.965000	-1.759640
-69082.815000	-1.735427
-64859.845000	-1.719283
-59662.435000	-1.711211
-54898.100000	-1.686996
-49700.605000	-1.670852
-44719.775000	-1.662781
-39955.440000	-1.638565
-34974.525000	-1.630494
-29993.610000	-1.606279
-25012.780000	-1.590134
-20031.865000	-1.573990
-15050.950000	-1.557848
-10070.035000	-1.529597
-4764.335000	-1.505381
0.000000	-1.501346
5089.205000	-1.477130
10070.035000	-1.465022
14834.370000	-1.416593
18515.890000	-1.400449
22305.700000	-1.368162
24796.200000	-1.339911
28044.560000	-1.307623
30643.350000	-1.271300
33133.765000	-1.234978
35299.395000	-1.194619
37248.445000	-1.130045
39522.280000	-1.073543
41146.460000	-0.996862
42554.145000	-0.904036
43853.540000	-0.795067
44936.270000	-0.661883
45910.795000	-0.524664
46343.955000	-0.387445
46885.320000	-0.274439
47101.900000	-0.161435
47426.770000	-0.052466
47535.060000	0.040360
48184.715000	0.387445
48726.080000	0.613453
49917.185000	0.904036
51216.580000	1.097757
53598.705000	1.287445
58579.620000	1.505381
64210.190000	1.598206
71248.445000	1.678923
79261.140000	1.755605
85216.580000	1.787893
