H [A/m]	B [T]
177254.000000	1.552356
172131.200000	1.539268
161885.200000	1.531414
149795.000000	1.515706
125409.800000	1.492146
100000.000000	1.458116
74590.200000	1.416230
50205.000000	1.382198
27664.000000	1.335078
-205.000000	1.287958
-20901.600000	1.235602
-32172.200000	1.185864
-43442.600000	1.096858
-49795.000000	1.002618
-54713.200000	0.837696
-55942.600000	0.500000
-56557.400000	0.000000
-56967.200000	-0.136126
-180737.800000	-1.578534
-171311.400000	-1.568062
-150205.000000	-1.536650
-123975.400000	-1.494764
-100000.000000	-1.450262
-75409.800000	-1.413612
-50614.800000	-1.371728
-25205.000000	-1.327226
0.000000	-1.269634
14959.000000	-1.232984
24385.200000	-1.198952
37705.000000	-1.123036
48155.800000	-1.002618
52868.800000	-0.866492
54713.200000	-0.704188
55942.600000	-0.500000
56762.200000	-0.214660
56770.000000	0.002618
57582.000000	0.206806
177868.800000	1.549738
