H	B
280903.250000	1.473054
250396.250000	1.428144
210380.250000	1.374252
173138.000000	1.320360
148970.000000	1.288922
101822.500000	1.226048
61410.500000	1.167665
48732.250000	1.145210
24960.500000	1.113773
-396.250000	1.082336
-26941.250000	1.032935
-45958.750000	1.005989
-65372.500000	0.970061
-82408.750000	0.938624
-96275.750000	0.916167
-108161.750000	0.871257
-115689.500000	0.826347
-120443.750000	0.763473
-124802.000000	0.660180
-127179.000000	0.552395
-128763.750000	0.471557
-129952.500000	0.359282
-131141.000000	0.224552
-132725.750000	0.098802
-134706.750000	-0.008982
-135103.000000	-0.098802
-284073.000000	-1.482036
-250792.500000	-1.446108
-224643.500000	-1.410180
-197702.000000	-1.378743
-177099.750000	-1.342815
-150950.750000	-1.306886
-124802.000000	-1.266467
-104596.000000	-1.235030
-84389.750000	-1.203593
-61410.500000	-1.172156
-46355.000000	-1.145210
-22979.500000	-1.118264
-396.250000	-1.091318
19413.750000	-1.059881
36450.000000	-1.032935
49524.500000	-1.014971
69730.500000	-0.988025
87955.750000	-0.947606
101030.000000	-0.911676
108954.000000	-0.875748
115293.250000	-0.826347
120840.000000	-0.772455
124009.500000	-0.646707
126783.000000	-0.520958
128763.750000	-0.345809
130744.750000	-0.175149
132329.750000	-0.017964
134706.750000	0.094311
288034.750000	1.486527
