H(A/m),B(T)
1.06561e+003,1.505394e+000
1.01662e+003,1.50544e+000
9.766677e+002,1.502822e+000
9.391534e+002,1.499835e+000
9.026468e+002,1.496619e+000
8.679607e+002,1.493679e+000
8.341523e+002,1.490693e+000
8.020343e+002,1.487614e+000
7.710541e+002,1.484536e+000
7.418944e+002,1.481412e+000
7.137424e+002,1.478426e+000
6.863706e+002,1.475347e+000
6.603966e+002,1.472269e+000
6.35723e+002,1.469191e+000
6.118296e+002,1.466113e+000
5.880662e+002,1.463035e+000
5.674886e+002,1.459956e+000
5.469435e+002,1.456832e+000
5.27146e+002,1.453708e+000
5.083889e+002,1.450676e+000
4.898918e+002,1.447598e+000
4.722724e+002,1.444427e+000
4.559533e+002,1.441395e+000
4.402845e+002,1.438271e+000
4.246156e+002,1.435193e+000
4.107346e+002,1.432115e+000
3.963335e+002,1.42899e+000
3.832328e+002,1.425866e+000
3.702295e+002,1.422788e+000
3.588192e+002,1.419664e+000
3.463361e+002,1.41654e+000
3.350233e+002,1.413462e+000
3.238405e+002,1.410292e+000
3.135355e+002,1.407213e+000
3.018651e+002,1.404135e+000
2.925027e+002,1.401011e+000
2.83368e+002,1.397887e+000
2.746233e+002,1.394763e+000
2.657811e+002,1.391638e+000
2.576866e+002,1.38856e+000
2.49332e+002,1.38539e+000
2.415951e+002,1.382312e+000
2.336306e+002,1.379142e+000
2.272265e+002,1.376064e+000
2.19002e+002,1.372985e+000
2.125329e+002,1.369815e+000
2.056412e+002,1.366737e+000
1.992046e+002,1.363567e+000
1.916302e+002,1.360535e+000
1.873716e+002,1.357319e+000
1.81065e+002,1.354241e+000
1.754411e+002,1.35107e+000
1.695247e+002,1.347992e+000
1.645184e+002,1.344822e+000
1.58732e+002,1.341744e+000
1.539533e+002,1.338574e+000
1.490771e+002,1.335496e+000
1.439408e+002,1.332325e+000
1.397148e+002,1.329247e+000
1.348061e+002,1.326077e+000
1.305475e+002,1.322999e+000
1.259964e+002,1.319875e+000
1.218353e+002,1.316751e+000
1.177393e+002,1.313627e+000
1.134808e+002,1.310502e+000
1.097748e+002,1.307378e+000
1.055163e+002,1.304208e+000
1.02298e+002,1.30113e+000
9.849453e+001,1.29796e+000
9.459356e+001,1.294882e+000
9.124523e+001,1.291711e+000
8.779937e+001,1.288633e+000
8.47111e+001,1.285463e+000
8.136277e+001,1.282385e+000
7.814447e+001,1.279123e+000
7.450357e+001,1.276137e+000
7.183791e+001,1.273058e+000
6.887967e+001,1.269888e+000
6.57914e+001,1.26681e+000
6.273564e+001,1.26364e+000
6.003747e+001,1.260562e+000
5.746934e+001,1.257392e+000
5.425104e+001,1.254314e+000
5.174791e+001,1.251143e+000
4.911476e+001,1.248065e+000
4.628656e+001,1.244895e+000
4.420604e+001,1.241863e+000
4.141035e+001,1.238739e+000
3.91998e+001,1.235615e+000
3.676169e+001,1.23249e+000
3.458365e+001,1.229366e+000
3.201551e+001,1.226242e+000
3.022757e+001,1.223164e+000
2.75294e+001,1.22004e+000
2.567644e+001,1.216916e+000
2.336836e+001,1.213837e+000
2.161293e+001,1.210667e+000
1.917482e+001,1.207635e+000
1.74844e+001,1.204511e+000
1.517633e+001,1.201433e+000
1.335587e+001,1.198263e+000
1.153542e+001,1.19523e+000
9.779986e+000,1.192106e+000
7.731977e+000,1.189028e+000
6.171589e+000,1.18595e+000
3.993548e+000,1.18278e+000
2.725733e+000,1.179609e+000
1.035313e+000,1.176623e+000
-5.900908e-001,1.173499e+000
-2.150479e+000,1.170375e+000
-3.678358e+000,1.167297e+000
-5.596335e+000,1.164218e+000
-6.896658e+000,1.161094e+000
-8.684602e+000,1.158016e+000
-9.724861e+000,1.154892e+000
-1.161033e+001,1.151814e+000
-1.281313e+001,1.14869e+000
-1.434101e+001,1.145611e+000
-1.564133e+001,1.142487e+000
-1.79494e+001,1.139363e+000
-1.87296e+001,1.136331e+000
-1.986738e+001,1.133207e+000
-2.103767e+001,1.130128e+000
-2.269558e+001,1.12705e+000
-2.360581e+001,1.123926e+000
-2.513369e+001,1.120802e+000
-2.614144e+001,1.117724e+000
-2.744176e+001,1.114645e+000
-2.861205e+001,1.111521e+000
-3.00099e+001,1.108443e+000
-3.079009e+001,1.105319e+000
-3.235048e+001,1.102241e+000
-3.296814e+001,1.099162e+000
-3.36183e+001,1.096084e+000
-3.465856e+001,1.092914e+000
-3.64465e+001,1.089882e+000
-3.722669e+001,1.086758e+000
-3.862454e+001,1.08368e+000
-3.92747e+001,1.080509e+000
-4.057503e+001,1.077477e+000
-4.132271e+001,1.074353e+000
-4.2493e+001,1.071275e+000
-4.32732e+001,1.068151e+000
-4.415091e+001,1.065027e+000
-4.506114e+001,1.061902e+000
-4.61014e+001,1.05887e+000
-4.697912e+001,1.055746e+000
-4.775931e+001,1.052668e+000
-4.85395e+001,1.04959e+000
-4.941722e+001,1.046465e+000
-5.019742e+001,1.043387e+000
-5.123768e+001,1.040263e+000
-5.237546e+001,1.037185e+000
-5.289559e+001,1.034015e+000
-5.325318e+001,1.030936e+000
-5.419591e+001,1.027858e+000
-5.481356e+001,1.024734e+000
-5.546373e+001,1.02161e+000
-5.637395e+001,1.018578e+000
-5.712164e+001,1.015454e+000
-5.747923e+001,1.012375e+000
-5.842196e+001,1.009297e+000
-5.907212e+001,1.006219e+000
-5.959225e+001,1.003049e+000
-6.033994e+001,9.999706e-001
-6.086007e+001,9.967546e-001
-6.151023e+001,9.938142e-001
-6.190032e+001,9.90736e-001
-6.255049e+001,9.876118e-001
-6.316814e+001,9.845336e-001
-6.407837e+001,9.813635e-001
-6.424091e+001,9.783312e-001
-6.446846e+001,9.75253e-001
-6.547621e+001,9.721289e-001
-6.638644e+001,9.690507e-001
-6.658149e+001,9.659265e-001
-6.74267e+001,9.628483e-001
-6.745921e+001,9.597701e-001
-6.804435e+001,9.566459e-001
-6.882455e+001,9.535677e-001
-6.869451e+001,9.504895e-001
-6.960474e+001,9.474113e-001
-7.038493e+001,9.441953e-001
-7.077503e+001,9.412089e-001
-7.139268e+001,9.379469e-001
-7.210786e+001,9.350525e-001
-7.279053e+001,9.319743e-001
-7.269301e+001,9.288501e-001
-7.34732e+001,9.257719e-001
-7.396082e+001,9.226937e-001
-7.409085e+001,9.196155e-001
-7.448095e+001,9.165373e-001
-7.552121e+001,9.134591e-001
-7.500108e+001,9.103809e-001
-7.604134e+001,9.073027e-001
-7.604134e+001,9.042245e-001
-7.704909e+001,9.011462e-001
-7.704909e+001,8.98068e-001
-7.782928e+001,8.949898e-001
-7.873951e+001,8.918197e-001
-7.873951e+001,8.888334e-001
-7.873951e+001,8.855255e-001
-7.935716e+001,8.82631e-001
-7.974726e+001,8.793691e-001
-8.013736e+001,8.764746e-001
-8.095006e+001,8.733964e-001
-8.091755e+001,8.703182e-001
-8.156771e+001,8.6724e-001
-8.218537e+001,8.641618e-001
-8.218537e+001,8.610836e-001
-8.254295e+001,8.580054e-001
-8.296556e+001,8.549271e-001
-8.348569e+001,8.518489e-001
-8.296556e+001,8.487248e-001
-8.413585e+001,8.456466e-001
-8.449344e+001,8.425684e-001
-8.520862e+001,8.393983e-001
-8.51436e+001,8.364119e-001
-8.605383e+001,8.331499e-001
-8.605383e+001,8.302555e-001
-8.621637e+001,8.271773e-001
-8.644392e+001,8.240991e-001
-8.719161e+001,8.210209e-001
-8.719161e+001,8.179427e-001
-8.784177e+001,8.148185e-001
-8.79718e+001,8.117862e-001
-8.8752e+001,8.085702e-001
-8.8752e+001,8.056298e-001
