"H (A_per_meter)" 	"B (tesla)"
-56000 	0
-55874 	0.10717400000000001
-55722.400000000001 	0.21434800000000001
-55536.300000000003 	0.321521
-55302.800000000003 	0.42869499999999999
-55000.699999999997 	0.53586900000000004
-54594.900000000001 	0.64304300000000003
-54020.800000000003 	0.75021599999999999
-53146.400000000001 	0.85738999999999999
-51652.5 	0.96456399999999998
-48519.300000000003 	1.0717399999999999
-43128.300000000003 	1.1457200000000001
-37737.300000000003 	1.17906
-32346.200000000001 	1.19834
-26955.200000000001 	1.2152799999999999
-21564.200000000001 	1.23221
-16173.1 	1.24915
-10782.1 	1.2660899999999999
-5391.04 	1.28302
0 	1.3
