H	B
172437.400000	1.547170
150113.800000	1.518142
124145.800000	1.494920
100227.800000	1.457184
76082.000000	1.416546
50113.800000	1.375908
25968.200000	1.335268
3872.400000	1.300436
0.000000	1.291728
-19817.800000	1.236574
-31890.600000	1.184326
-43052.400000	1.100146
-49886.200000	0.998548
-54669.800000	0.830188
-55808.600000	0.560232
-56036.400000	0.301886
-56492.000000	0.133526
-56719.800000	0.000000
-56947.600000	-0.136430
-66287.000000	-1.149492
-90660.600000	-1.341074
-151025.000000	-1.526850
-181549.000000	-1.576198
-151252.800000	-1.526850
-124829.200000	-1.492018
-100911.200000	-1.448476
-76082.000000	-1.407838
-50569.400000	-1.367198
-27107.000000	-1.320754
-3872.400000	-1.277214
455.600000	-1.259796
17539.800000	-1.216256
26195.800000	-1.181422
38268.800000	-1.111756
47836.000000	-1.004354
52619.600000	-0.870828
55808.600000	-0.502178
56492.000000	-0.287374
56719.800000	-0.075472
56720.000000	-0.002902
57175.400000	0.098694
60820.000000	0.981132
70615.000000	1.222060
99088.800000	1.390420
149886.200000	1.521044
172665.200000	1.547170
