H	B
673378.000000	1.977742
642058.000000	1.939586
610738.500000	1.901430
583892.500000	1.866454
557047.000000	1.828298
531320.000000	1.790144
504474.500000	1.764706
479866.000000	1.726550
451901.500000	1.688394
426174.500000	1.656598
401566.000000	1.624802
371364.500000	1.599364
351230.500000	1.567568
328859.000000	1.532592
302013.500000	1.491256
279642.000000	1.475358
252796.500000	1.446740
238255.000000	1.408586
217002.000000	1.389508
196868.000000	1.344992
175615.000000	1.322734
153244.000000	1.290938
125279.500000	1.259142
106264.000000	1.227344
89485.500000	1.198728
72707.000000	1.176470
52572.500000	1.147854
36913.000000	1.112878
15660.000000	1.087440
0.000000	1.052464
-14541.500000	1.030206
-30201.500000	0.998410
-42505.500000	0.960254
-58165.500000	0.934818
-70470.000000	0.903020
-81655.500000	0.858506
-91722.500000	0.817170
-97315.500000	0.779014
-99552.500000	0.731320
-104027.000000	0.693164
-106264.000000	0.651828
-110738.500000	0.600954
-111857.000000	0.562798
-115212.500000	0.511924
-117449.500000	0.454690
-117449.500000	0.410174
-119687.000000	0.365660
-117449.500000	0.330684
-120805.500000	0.305246
-121924.000000	0.263910
-121924.000000	0.222576
-120805.500000	0.187600
-121924.000000	0.152624
-124161.000000	0.111288
-124161.000000	0.060414
-125279.500000	0.012718
-126398.000000	-0.041336
-126398.000000	-0.085850
-125279.500000	-0.130366
-129754.000000	-0.521462
-140939.500000	-0.861686
-154362.500000	-1.020668
-171141.000000	-1.157392
-194631.000000	-1.240064
-218121.000000	-1.313196
-256152.000000	-1.389508
-302013.500000	-1.468998
-357942.000000	-1.558028
-441834.500000	-1.662958
-497763.000000	-1.748808
-561521.500000	-1.828298
-616331.000000	-1.898252
-675615.000000	-1.984102
-656599.500000	-1.955484
-637584.000000	-1.926868
-619687.000000	-1.907790
-600671.000000	-1.885532
-586130.000000	-1.860096
-568232.500000	-1.841018
-544742.500000	-1.802862
-522371.500000	-1.774244
-506711.500000	-1.758346
-488814.500000	-1.732910
-470917.000000	-1.713832
-454138.500000	-1.688394
-437360.000000	-1.669316
-418344.500000	-1.637520
-399329.000000	-1.618442
-379194.500000	-1.583466
-362416.000000	-1.564388
-348993.500000	-1.542130
-334452.000000	-1.519872
-319910.500000	-1.503974
-304250.500000	-1.488076
-284116.500000	-1.462640
-265100.500000	-1.434022
-248322.000000	-1.408586
-229306.500000	-1.383148
-211409.500000	-1.354532
-194631.000000	-1.344992
-176734.000000	-1.306836
-156599.500000	-1.287758
-138702.500000	-1.262322
-120805.500000	-1.243244
-107382.500000	-1.208268
-81655.500000	-1.176470
-58165.500000	-1.138314
-39150.000000	-1.103338
-21253.000000	-1.071542
-3355.500000	-1.039746
16778.500000	-1.007950
33557.000000	-0.969794
50335.500000	-0.925278
61521.500000	-0.880764
72707.000000	-0.833068
89485.500000	-0.772656
98434.000000	-0.683624
102908.500000	-0.597774
108501.000000	-0.524642
110738.500000	-0.454690
115212.500000	-0.391096
115212.500000	-0.302066
118568.000000	-0.244834
119687.000000	-0.209856
119687.000000	-0.149444
119687.000000	-0.111288
117449.500000	-0.063594
121924.000000	-0.047694
121924.000000	-0.003180
123042.500000	0.044516
123042.500000	0.076312
124161.000000	0.321144
126398.000000	0.527822
131991.000000	0.705882
140939.500000	0.842608
151006.500000	0.995230
166666.500000	1.106518
189038.000000	1.224166
221476.500000	1.316376
256152.000000	1.395866
312080.500000	1.497616
366890.500000	1.580286
408277.500000	1.640700
453020.000000	1.691574
485458.500000	1.739268
538031.500000	1.818760
587248.500000	1.869634
630872.500000	1.917330
673378.000000	1.980922
