H	B
80905.720000	1.759189
77042.045000	1.748448
75254.410000	1.744153
71448.450000	1.737709
68449.820000	1.733413
65278.130000	1.720525
63029.200000	1.711933
60722.555000	1.705489
58761.860000	1.701193
56916.595000	1.690454
55013.530000	1.688305
52476.280000	1.684010
50169.635000	1.677566
48324.285000	1.662530
46017.640000	1.658234
43653.365000	1.649642
41808.015000	1.647493
39616.715000	1.645346
37079.380000	1.634607
34426.700000	1.628163
31601.045000	1.617422
29698.065000	1.608831
27391.420000	1.608831
26007.450000	1.602387
23008.820000	1.591646
21048.210000	1.576611
18741.480000	1.576611
16492.550000	1.563723
14589.570000	1.557279
11187.275000	1.540096
8707.570000	1.537947
6343.295000	1.529356
3978.935000	1.516468
1441.685000	1.503580
-1672.290000	1.490692
-4555.660000	1.477804
-5189.930000	1.473509
-6977.650000	1.462768
-8995.890000	1.456324
-11244.905000	1.441289
-12571.245000	1.436992
-14416.595000	1.426253
-16607.895000	1.406921
-19318.205000	1.391886
-21048.210000	1.370407
-22605.155000	1.368257
-25200.120000	1.342481
-26872.495000	1.327446
-28948.450000	1.299523
-31312.725000	1.288782
-32408.375000	1.254415
-34196.095000	1.228640
-35810.755000	1.194271
-37425.415000	1.162053
-38809.385000	1.114798
-40366.330000	1.069690
-40942.970000	1.024582
-41865.645000	0.979475
-42672.975000	0.932220
-43480.305000	0.874224
-44114.660000	0.824821
-44806.645000	0.760381
-45325.655000	0.685202
-45960.010000	0.612171
-46075.270000	0.521957
-46536.650000	0.461813
-46940.315000	0.386635
-47286.265000	0.294271
-47574.585000	0.208354
-47747.645000	0.148210
-47862.990000	0.066587
-47978.250000	0.015035
-48151.310000	-0.032220
-48208.940000	-0.090214
-48266.655000	-0.137470
-48612.605000	-0.307159
-49246.960000	-0.610024
-50630.930000	-0.912888
-52995.290000	-1.205012
-55071.245000	-1.344631
-59511.560000	-1.499285
-64932.180000	-1.606682
-75139.065000	-1.726969
-82059.000000	-1.774224
-79694.725000	-1.774224
-77157.390000	-1.759189
-75081.435000	-1.754892
-72140.435000	-1.748448
-68968.830000	-1.739857
-65220.500000	-1.720525
-61991.180000	-1.711933
-58588.885000	-1.701193
-54955.900000	-1.696898
-51380.630000	-1.681862
-47978.250000	-1.671122
-45325.655000	-1.660381
-42557.630000	-1.656086
-38405.720000	-1.645346
-35003.425000	-1.632458
-31601.045000	-1.617422
-27679.825000	-1.602387
-24969.430000	-1.589499
-21740.195000	-1.583055
-17876.520000	-1.563723
-15050.865000	-1.550835
-11014.215000	-1.542244
-8361.620000	-1.529356
-5420.620000	-1.520764
-4497.945000	-1.512171
-2421.990000	-1.503580
-172.975000	-1.503580
1383.970000	-1.486397
3517.640000	-1.479953
5305.275000	-1.467065
7611.920000	-1.464916
10033.910000	-1.443436
12282.925000	-1.434845
14647.200000	-1.417660
16146.515000	-1.417660
18395.530000	-1.391886
20125.535000	-1.376849
22028.515000	-1.370407
23816.150000	-1.348925
25661.500000	-1.336037
27160.815000	-1.318855
29006.080000	-1.297375
31601.045000	-1.263008
33677.085000	-1.226491
35291.745000	-1.189976
37137.010000	-1.147018
38405.720000	-1.112648
39443.655000	-1.073986
40366.330000	-1.033175
41461.980000	-0.981623
42096.335000	-0.932220
42961.295000	-0.878521
43710.995000	-0.816230
44230.005000	-0.760381
44633.670000	-0.698090
45383.285000	-0.610024
45671.605000	-0.530548
45960.010000	-0.440334
46478.935000	-0.380191
46882.600000	-0.285680
46882.600000	-0.212648
47171.005000	-0.131026
47459.325000	-0.049403
47459.325000	0.019332
47689.930000	0.094511
48035.965000	0.296420
48785.580000	0.590692
49881.315000	0.895703
52360.935000	1.205012
54955.900000	1.374701
58242.850000	1.499285
65162.785000	1.623866
75023.720000	1.722674
80848.005000	1.763485
