H	B
673387.000000	1.971752
568548.500000	1.836158
500000.000000	1.740112
419355.000000	1.638418
334677.500000	1.531074
235887.000000	1.401130
149193.500000	1.288136
68548.500000	1.163842
8064.500000	1.062146
-10080.500000	1.033898
-46371.000000	0.960452
-78629.000000	0.881356
-92742.000000	0.785310
-104838.500000	0.661016
-110887.000000	0.559322
-114919.500000	0.384180
-116935.500000	0.203390
-120967.500000	0.056498
-120967.500000	-0.033898
-122984.000000	-0.203390
-497984.000000	-1.734464
-675403.000000	-1.966102
-592742.000000	-1.864406
-500000.000000	-1.740112
-407258.000000	-1.621468
-302419.500000	-1.480226
-209677.500000	-1.355932
-133064.500000	-1.254238
-54435.500000	-1.135594
2016.000000	-1.033898
44355.000000	-0.949152
88709.500000	-0.762712
112903.000000	-0.519774
122984.000000	-0.203390
125000.000000	0.000000
127016.000000	0.220338
500000.000000	1.740112
675403.000000	1.977402
