H	B
0	1.2363
-1693.177349	1.232302
-3315.876504	1.228305
-5079.582068	1.226306
-6984.444101	1.222308
-8818.777919	1.219310
-10653.061717	1.215311
-12205.182638	1.212313
-13616.147089	1.208316
-15097.739794	1.206317
-16861.445358	1.203319
-18413.566278	1.200320
-19824.580749	1.194324
-21165.016986	1.190326
-22717.137906	1.186329
-24339.787041	1.178332
-26032.964390	1.171337
-27302.872412	1.161342
-28854.993332	1.157345
-29842.688456	1.149350
-31183.124692	1.142354
-32523.610949	1.134357
-33722.940736	1.124363
-34851.742309	1.113370
-36121.650331	1.104374
-37250.451904	1.089383
-38590.888140	1.079389
-39719.689713	1.061399
-40707.384837	1.042410
-41977.292859	1.013426
-42753.353319	0.989439
-43247.200881	0.968452
-44023.261341	0.937469
-44446.530668	0.909485
-44940.428250	0.874505
-45363.697577	0.836526
-45857.545139	0.792551
-46139.758037	0.759570
-46421.970936	0.733585
-46563.077385	0.703602
-46774.712048	0.674618
-47127.453161	0.645634
-47198.031396	0.617651
-47480.194274	0.590666
-47550.772509	0.560683
-47832.935387	0.535696
-48044.620070	0.502715
-48256.254734	0.476730
-48326.832969	0.445748
-48467.889398	0.422760
-48679.574081	0.398775
-48750.102296	0.368791
-48891.208745	0.347803
-48891.208745	0.325816
-48961.736960	0.298831
-49032.315194	0.275843
-49102.843409	0.245861
-49243.949858	0.218876
-49455.634541	0.193890
-49455.634541	0.170904
-49455.634541	0.141920
-49667.269205	0.112936
-49737.797420	0.087950
-49808.375654	0.057968
-49878.903869	0.029983
-50020.010318	0
