H [A/m]	B [T]
0.000000	1.060000
-3114.087900	1.053481
-6657.655800	1.046962
-9556.884400	1.043051
-12456.113000	1.036532
-15677.570900	1.031316
-18576.918800	1.027405
-21690.887400	1.022190
-24697.605300	1.016975
-27704.203900	1.011759
-30281.322500	1.007848
-33824.890400	1.002632
-36938.978300	0.997417
-40267.806200	0.990898
-43381.774800	0.986986
-46817.972700	0.983075
-50791.139900	0.973948
-54442.077800	0.967429
-57663.416400	0.962214
-60992.244300	0.955695
-63891.592200	0.950480
-66683.450800	0.945265
-69475.309400	0.941353
-72267.287300	0.932227
-75166.515900	0.928315
-78173.233800	0.921796
-81179.832400	0.916581
-84079.061000	0.907454
-87300.518900	0.900934
-90199.866800	0.891808
-92776.985400	0.883985
-95354.104000	0.876162
-97609.112600	0.865732
-99541.891900	0.853997
-101582.160500	0.842263
-103837.169100	0.826618
-105770.067700	0.808364
-107810.217000	0.787503
-109206.265600	0.767946
-110279.965600	0.745781
-111461.154900	0.719705
-112320.234200	0.694933
-113179.313500	0.672767
-113716.163500	0.650603
-114038.392800	0.628438
-114575.242800	0.602362
-115112.092800	0.576285
-115649.062100	0.547601
-115971.172100	0.515006
-116293.282100	0.486323
-116615.511400	0.457638
-116937.621400	0.431562
-117044.991400	0.396359
-117367.101400	0.366371
-117689.330700	0.337687
-117796.700700	0.310308
-117904.070700	0.281624
-118011.440700	0.255547
-118333.550700	0.229471
-118548.290700	0.203395
-118655.660700	0.178623
-118655.660700	0.155153
-118763.150000	0.135596
-118977.890000	0.109520
-119192.630000	0.088659
-118977.890000	0.063887
-119192.630000	0.043025
-119192.630000	0.026076
-119300.000000	0.000000
